time_key,date,day_of_week,day_number_in_month,day_number_overall,week_number_in_year,week_number_overall,Month,quarter,fiscal_period,year,holiday_flag
42,11/11/1994,Friday,11,314,45,45,34668,4,4Q94,1994,N
43,12/11/1994,Saturday,12,315,45,45,34668,4,4Q94,1994,N
44,13/11/1994,Sunday,13,316,46,46,34668,4,4Q94,1994,N
45,14/11/1994,Monday,14,317,46,46,34668,4,4Q94,1994,N
46,15/11/1994,Tuesday,15,318,46,46,34668,4,4Q94,1994,N
47,16/11/1994,Wednesday,16,319,46,46,34668,4,4Q94,1994,N
48,17/11/1994,Thursday,17,320,46,46,34668,4,4Q94,1994,N
49,18/11/1994,Friday,18,321,46,46,34668,4,4Q94,1994,N
50,19/11/1994,Saturday,19,322,46,46,34668,4,4Q94,1994,N
51,20/11/1994,Sunday,20,323,47,47,34668,4,4Q94,1994,N
52,21/11/1994,Monday,21,324,47,47,34668,4,4Q94,1994,N
53,22/11/1994,Tuesday,22,325,47,47,34668,4,4Q94,1994,N
54,23/11/1994,Wednesday,23,326,47,47,34668,4,4Q94,1994,N
55,24/11/1994,Thursday,24,327,47,47,34668,4,4Q94,1994,Y
56,25/11/1994,Friday,25,328,47,47,34668,4,4Q94,1994,N
57,26/11/1994,Saturday,26,329,47,47,34668,4,4Q94,1994,N
58,27/11/1994,Sunday,27,330,48,48,34668,4,4Q94,1994,N
59,28/11/1994,Monday,28,331,48,48,34668,4,4Q94,1994,N
60,29/11/1994,Tuesday,29,332,48,48,34668,4,4Q94,1994,N
61,30/11/1994,Wednesday,30,333,48,48,34668,4,4Q94,1994,N
62,01/12/1994,Thursday,1,334,48,48,34699,4,4Q94,1994,N
63,02/12/1994,Friday,2,335,48,48,34699,4,4Q94,1994,N
64,03/12/1994,Saturday,3,336,48,48,34699,4,4Q94,1994,N
65,04/12/1994,Sunday,4,337,49,49,34699,4,4Q94,1994,N
66,05/12/1994,Monday,5,338,49,49,34699,4,4Q94,1994,N
67,06/12/1994,Tuesday,6,339,49,49,34699,4,4Q94,1994,N
68,07/12/1994,Wednesday,7,340,49,49,34699,4,4Q94,1994,N
69,08/12/1994,Thursday,8,341,49,49,34699,4,4Q94,1994,N
70,09/12/1994,Friday,9,342,49,49,34699,4,4Q94,1994,N
71,10/12/1994,Saturday,10,343,49,49,34699,4,4Q94,1994,N
72,11/12/1994,Sunday,11,344,50,50,34699,4,4Q94,1994,N
73,12/12/1994,Monday,12,345,50,50,34699,4,4Q94,1994,N
74,13/12/1994,Tuesday,13,346,50,50,34699,4,4Q94,1994,N
75,14/12/1994,Wednesday,14,347,50,50,34699,4,4Q94,1994,N
76,15/12/1994,Thursday,15,348,50,50,34699,4,4Q94,1994,N
77,16/12/1994,Friday,16,349,50,50,34699,4,4Q94,1994,N
78,17/12/1994,Saturday,17,350,50,50,34699,4,4Q94,1994,N
79,18/12/1994,Sunday,18,351,51,51,34699,4,4Q94,1994,N
80,19/12/1994,Monday,19,352,51,51,34699,4,4Q94,1994,N
81,20/12/1994,Tuesday,20,353,51,51,34699,4,4Q94,1994,N
82,21/12/1994,Wednesday,21,354,51,51,34699,4,4Q94,1994,N
83,22/12/1994,Thursday,22,355,51,51,34699,4,4Q94,1994,N
84,23/12/1994,Friday,23,356,51,51,34699,4,4Q94,1994,N
85,24/12/1994,Saturday,24,357,51,51,34699,4,4Q94,1994,N
86,25/12/1994,Sunday,25,358,52,52,34699,4,4Q94,1994,Y
87,26/12/1994,Monday,26,359,52,52,34699,4,4Q94,1994,N
88,27/12/1994,Tuesday,27,360,52,52,34699,4,4Q94,1994,N
89,28/12/1994,Wednesday,28,361,52,52,34699,4,4Q94,1994,N
90,29/12/1994,Thursday,29,362,52,52,34699,4,4Q94,1994,N
91,30/12/1994,Friday,30,363,52,52,34699,4,4Q94,1994,N
92,31/12/1994,Saturday,31,364,52,52,34699,4,4Q94,1994,N
93,01/10/1995,Sunday,1,638,40,92,35003,4,4Q95,1995,N
94,02/10/1995,Monday,2,639,40,92,35003,4,4Q95,1995,N
95,03/10/1995,Tuesday,3,640,40,92,35003,4,4Q95,1995,N
96,04/10/1995,Wednesday,4,641,40,92,35003,4,4Q95,1995,N
97,05/10/1995,Thursday,5,642,40,92,35003,4,4Q95,1995,N
98,06/10/1995,Friday,6,643,40,92,35003,4,4Q95,1995,N
99,07/10/1995,Saturday,7,644,40,92,35003,4,4Q95,1995,N
100,08/10/1995,Sunday,8,645,41,93,35003,4,4Q95,1995,N
101,09/10/1995,Monday,9,646,41,93,35003,4,4Q95,1995,N
102,10/10/1995,Tuesday,10,647,41,93,35003,4,4Q95,1995,N
103,11/10/1995,Wednesday,11,648,41,93,35003,4,4Q95,1995,N
104,12/10/1995,Thursday,12,649,41,93,35003,4,4Q95,1995,Y
105,13/10/1995,Friday,13,650,41,93,35003,4,4Q95,1995,N
106,14/10/1995,Saturday,14,651,41,93,35003,4,4Q95,1995,N
107,15/10/1995,Sunday,15,652,42,94,35003,4,4Q95,1995,N
108,16/10/1995,Monday,16,653,42,94,35003,4,4Q95,1995,N
109,17/10/1995,Tuesday,17,654,42,94,35003,4,4Q95,1995,N
110,18/10/1995,Wednesday,18,655,42,94,35003,4,4Q95,1995,N
111,19/10/1995,Thursday,19,656,42,94,35003,4,4Q95,1995,N
112,20/10/1995,Friday,20,657,42,94,35003,4,4Q95,1995,N
113,21/10/1995,Saturday,21,658,42,94,35003,4,4Q95,1995,N
114,22/10/1995,Sunday,22,659,43,95,35003,4,4Q95,1995,N
115,23/10/1995,Monday,23,660,43,95,35003,4,4Q95,1995,N
116,24/10/1995,Tuesday,24,661,43,95,35003,4,4Q95,1995,N
117,25/10/1995,Wednesday,25,662,43,95,35003,4,4Q95,1995,N
118,26/10/1995,Thursday,26,663,43,95,35003,4,4Q95,1995,N
119,27/10/1995,Friday,27,664,43,95,35003,4,4Q95,1995,N
120,28/10/1995,Saturday,28,665,43,95,35003,4,4Q95,1995,N
121,29/10/1995,Sunday,29,666,44,96,35003,4,4Q95,1995,N
122,30/10/1995,Monday,30,667,44,96,35003,4,4Q95,1995,N
123,31/10/1995,Tuesday,31,668,44,96,35003,4,4Q95,1995,Y
124,01/11/1995,Wednesday,1,669,44,96,35033,4,4Q95,1995,N
125,02/11/1995,Thursday,2,670,44,96,35033,4,4Q95,1995,N
126,03/11/1995,Friday,3,671,44,96,35033,4,4Q95,1995,N
127,04/11/1995,Saturday,4,672,44,96,35033,4,4Q95,1995,N
128,05/11/1995,Sunday,5,673,45,97,35033,4,4Q95,1995,N
129,06/11/1995,Monday,6,674,45,97,35033,4,4Q95,1995,N
130,07/11/1995,Tuesday,7,675,45,97,35033,4,4Q95,1995,N
131,08/11/1995,Wednesday,8,676,45,97,35033,4,4Q95,1995,N
132,09/11/1995,Thursday,9,677,45,97,35033,4,4Q95,1995,N
133,10/11/1995,Friday,10,678,45,97,35033,4,4Q95,1995,N
134,11/11/1995,Saturday,11,679,45,97,35033,4,4Q95,1995,N
135,12/11/1995,Sunday,12,680,46,98,35033,4,4Q95,1995,N
136,13/11/1995,Monday,13,681,46,98,35033,4,4Q95,1995,N
137,14/11/1995,Tuesday,14,682,46,98,35033,4,4Q95,1995,N
138,15/11/1995,Wednesday,15,683,46,98,35033,4,4Q95,1995,N
139,16/11/1995,Thursday,16,684,46,98,35033,4,4Q95,1995,N
140,17/11/1995,Friday,17,685,46,98,35033,4,4Q95,1995,N
141,18/11/1995,Saturday,18,686,46,98,35033,4,4Q95,1995,N
142,19/11/1995,Sunday,19,687,47,99,35033,4,4Q95,1995,N
143,20/11/1995,Monday,20,688,47,99,35033,4,4Q95,1995,N
144,21/11/1995,Tuesday,21,689,47,99,35033,4,4Q95,1995,N
145,22/11/1995,Wednesday,22,690,47,99,35033,4,4Q95,1995,N
146,23/11/1995,Thursday,23,691,47,99,35033,4,4Q95,1995,Y
147,24/11/1995,Friday,24,692,47,99,35033,4,4Q95,1995,N
148,25/11/1995,Saturday,25,693,47,99,35033,4,4Q95,1995,N
149,26/11/1995,Sunday,26,694,48,100,35033,4,4Q95,1995,N
150,27/11/1995,Monday,27,695,48,100,35033,4,4Q95,1995,N
151,28/11/1995,Tuesday,28,696,48,100,35033,4,4Q95,1995,N
152,29/11/1995,Wednesday,29,697,48,100,35033,4,4Q95,1995,N
153,30/11/1995,Thursday,30,698,48,100,35033,4,4Q95,1995,N
154,01/12/1995,Friday,1,699,48,100,35064,4,4Q95,1995,N
155,02/12/1995,Saturday,2,700,48,100,35064,4,4Q95,1995,N
156,03/12/1995,Sunday,3,701,49,101,35064,4,4Q95,1995,N
157,04/12/1995,Monday,4,702,49,101,35064,4,4Q95,1995,N
158,05/12/1995,Tuesday,5,703,49,101,35064,4,4Q95,1995,N
159,06/12/1995,Wednesday,6,704,49,101,35064,4,4Q95,1995,N
160,07/12/1995,Thursday,7,705,49,101,35064,4,4Q95,1995,N
161,08/12/1995,Friday,8,706,49,101,35064,4,4Q95,1995,N
162,09/12/1995,Saturday,9,707,49,101,35064,4,4Q95,1995,N
163,10/12/1995,Sunday,10,708,50,102,35064,4,4Q95,1995,N
164,11/12/1995,Monday,11,709,50,102,35064,4,4Q95,1995,N
165,12/12/1995,Tuesday,12,710,50,102,35064,4,4Q95,1995,N
166,13/12/1995,Wednesday,13,711,50,102,35064,4,4Q95,1995,N
167,14/12/1995,Thursday,14,712,50,102,35064,4,4Q95,1995,N
168,15/12/1995,Friday,15,713,50,102,35064,4,4Q95,1995,N
169,16/12/1995,Saturday,16,714,50,102,35064,4,4Q95,1995,N
170,17/12/1995,Sunday,17,715,51,103,35064,4,4Q95,1995,N
171,18/12/1995,Monday,18,716,51,103,35064,4,4Q95,1995,N
172,19/12/1995,Tuesday,19,717,51,103,35064,4,4Q95,1995,N
173,20/12/1995,Wednesday,20,718,51,103,35064,4,4Q95,1995,N
174,21/12/1995,Thursday,21,719,51,103,35064,4,4Q95,1995,N
175,22/12/1995,Friday,22,720,51,103,35064,4,4Q95,1995,N
176,23/12/1995,Saturday,23,721,51,103,35064,4,4Q95,1995,N
177,24/12/1995,Sunday,24,722,52,104,35064,4,4Q95,1995,N
178,25/12/1995,Monday,25,723,52,104,35064,4,4Q95,1995,Y
179,26/12/1995,Tuesday,26,724,52,104,35064,4,4Q95,1995,N
180,27/12/1995,Wednesday,27,725,52,104,35064,4,4Q95,1995,N
181,28/12/1995,Thursday,28,726,52,104,35064,4,4Q95,1995,N
182,29/12/1995,Friday,29,727,52,104,35064,4,4Q95,1995,N
183,30/12/1995,Saturday,30,728,52,104,35064,4,4Q95,1995,N
184,31/12/1995,Sunday,31,729,53,105,35064,4,4Q95,1995,N
